QueryId,Query
Q0001,Do you charge late fee on delayed premium?
Q0002,I need maturity claim requirements?
Q0003,What is single premium policy?
Q0004,Can I change nomination through will?
Q0005,What do you mean by non-standard age proof?
Q0006,When is my next premium due?
Q0007,Premium which i pay is for the period completed or in advance?
Q0008,"I am getting monthly disability benefit under the policy, whether i will get loan under the policy?"
Q0009,"I paid the premium twice by mistake, what should I do now?"
Q0010,Whether any subsidy is available for repaying the loan from Government of India?
Q0011,"What benefit I will get , if I pay the loan proportionately?"
Q0012,How can I pay the premium in online mode or through portal payment?
Q0013,"My policy money has not been credited to my account, where should I contact?"
Q0014,I have fully repaid my outstanding loan; still I have not received my policy document back to me. What I should do'
Q0015,Can trust or Institute become nominee for life insurance policy?
Q0016,Whether I will be required to give the reason for which purpose I am taking the loan under the policy?
Q0017,I have taken loan under the policy and I wish to transfer the policy to another Branch.
Q0018,Can I submit Cancelled cheque with NEFT form?
Q0019,Where can I get panel doctor address?
Q0020,Is there limit to premium amount payable through credit card?
Q0021,Where can I get the death claim form?
Q0022,Compare products'
Q0023,Whether intimation about mandate acceptance/rejection is given to customer?
Q0024,"If i pay the premium in advance, whether i will get any incentive or rebate as early bird?"
Q0025,How much time is taken for the registration through bill pay?
Q0026,At what age should I purchase a Life Insurance Policy?
Q0027,"If premium is paid after 6 month, what is rate of interest charged for calculation of late fee?"
Q0028,How I can pay premium in offline mode?
Q0029,Why revival of policy is required?
Q0030,I want to check outstanding loan.
Q0031,Bonus declared for 2018-19?
Q0032,Whether assignment can be done in favor of minor?
Q0033,"After taking loan, whether nomination under the policy will get cancelled?"
Q0034,I want to change my address in my policy.
Q0035,Are there separate charges for NEFT registration?
Q0036,Why I should do assignment?
Q0037,What is date of commencement?
Q0038,What is GSV?
Q0039,My assignment application is declined ?
Q0040,What is the procedure of assigning a policy?
Q0041,"If i do not pay the premium, whether my agent will get the commission?"
Q0042,What is premium schedule?
Q0043,What is difference between assignment and nomination?
Q0044,Whether revival of lapsed policy allowed in E-services?
Q0045,How to revive my policy?
Q0046,Can you quote the procedure for cancellation of nomination?
Q0047,How will nomination help us?
Q0048,Whether I can get the revival requirement through SMS?
Q0049,When can I pay the insurance premiums?
Q0050,What is the benefit of taking single premium policy?
Q0051,Whether assignee under the policy can raise the loan?
Q0052,Whether single premium mode is allowed?
Q0053,Can I reduce premium paying term of my policy?
Q0054,Whether LIC agents are authorised to collect the premium and issue receipts?
Q0055,"Under online loan, whether i will be required to visit servicing branch office for getting the loan?"
Q0056,Can loan be repaid online?
Q0057,Whether installment premium stated in policy document is inclusive of GST?
Q0058,"Please quote days of grace allowed for term insurance products under yearly, half- yearly or quarterly mode of payment?"
Q0059,Maturity claim forms.
Q0060,I have confirmed that my mobile number is correct but still I am not getting the SMS alert.
Q0061,"For One lakh sum assured policy, how much loan will I get?"
Q0062,Will you increase my policy premium as I age?
Q0063,Can I know my balance loan amount?
Q0064,Whether GST is applicable on loan amount?
Q0065,What is NACH?
Q0066,How the loan will be settled under online loan facility?
Q0067,What are the facilities available for repayment of loan?
Q0068,Why am i not able to make payment online?
Q0069,How I have to assign the policy for taking loan under the policy?
Q0070,Whether LIC send any intimation before compulsory closure of the policy?
Q0071,Tell me the difference between fund switch and fund redirection.
Q0072,Whether LIC send any notice for paying loan interest during the policy term?
Q0073,What is benefit of NEFT?
Q0074,Which type of polices can be assigned?
Q0075,What is the difference in Profit/without profit plans?
Q0076,Tell me about standard age proof.
Q0077,Can you explain the meaning of FUP by example?
Q0078,Alternate premium payment options.
Q0079,Whether conditionally assigned policy can be surrendered by policyholder?
Q0080,Can I use loan amount to purchase new policy?
Q0081,Who can register with the authorized banks?
Q0082,Can you please explain me difference between multiple and successive nomination?
Q0083,What are the standard age proof which are accepted while taking new policy?
Q0084,Do you require any documents as proof of ID for Nominee?
Q0085,What happens when payment is done twice under a policy through EBPP and other mode?
Q0086,In which cities do the authorized service providers operate from?
Q0087,How long nomination is valid?
Q0088,"After taking loan whether supplementary benefits like accident benefit, rider sum assured will get reduced?"
Q0089,Please quote me rate of interest charged for collecting late fee.
Q0090,Maximum age limit for effecting alteration in a policy.
Q0091,How can I calculate my premium?
Q0092,Who can nominate?
Q0093,Which policies are eligible for payment of premium through online?
Q0094,Can I do nomination online?
Q0095,How can I register for Premier services?
Q0096,What is an alteration fee in a policy?
Q0097,Does revival cancels earlier nomination?
Q0098,My outstanding premiums are due for more than 6 months. Can I pay one or two premiums?
Q0099,Where can I surrender my policy?
Q0100,Whether any charges are required to be paid for registering the assignment?
Q0101,What happens if person I have nominated dies before me?
Q0102,Can i print a copy of the proposal form i gave for taking the policy?
Q0103,When will the premium be debited from customers account in case of NACH?
Q0104,"Under online loan facility, if i have to go your LIC branch, then how it will be treated as online loan?"
Q0105,Why the premium increases as the age increases?
Q0106,I have not received the e-receipt of my payment.
Q0107,How to lodge complaint?
Q0108,Charges for medical reports.
Q0109,Does nominee has right to raise Loan on policy?
Q0110,How I can confirm that my policy can be assigned?
Q0111,I want to know about multiple nominations.
Q0112,"My policy is matured, but I have not taken the amount of maturity claim. Whether I will get loan under the policy?"
Q0113,Within how many years I can revive my policy from last premium paid ?
Q0114,How can i reset my password?
Q0115,Special Revival Campaign'
Q0116,Whether I can assign the policy for raising housing loan?
Q0117,Where can I get NEFT form?
Q0118,Is there any convenience charge for online transaction?
Q0119,Are children allowed as nominee?
Q0120,What are the death claim requirements?
Q0121,What are the death claim requirements?
Q0122,What is DGH?
Q0123,What is meant by assignee and assignor?
Q0124,Whether there are charges for payment through credit cards ?
Q0125,How can I pay the premium via ATM?
Q0126,"I am having a deferred annuity policy, If I make nomination now?"
Q0127,What are the grounds on which registration of assignment can be rejected by LIC?
Q0128,Can i include the policies of my spouse and children under my user-id for E-services ?
Q0129,How much loan I will get on my policy?
Q0130,When do I get my insurance amount?
Q0131,"If last day of grace period happens to be Sunday or holiday, then whether I have to pay penal interest?"
Q0132,"Agent is not giving me any service, hence i do not want to pay the premium."
Q0133,How many days of grace are allowed for monthly mode of payment?
Q0134,I want to know about all lic plans'
Q0135,I want to know NAV for my plan.
Q0136,I have lost my original policy document. Whether I will be eligible to get loan?
Q0137,Who can be assignee?
Q0138,Where I can revive my policy?
Q0139,Whether I can pay the premium directly to bank by paying visit?
Q0140,What\'s the operating time of the customer zone?
Q0141,Can Only natural guardian be a appointee nominee?
Q0142,What are the mode of payments during pendency of the mandate?
Q0143,Can a single mandate be used for multiple policies?
Q0144,What is premium under policy?
Q0145,Can minor child make nomination?
Q0146,Where I can revive my policy?
Q0147,Whether I can pay the premium directly to bank by paying visit?
